Related Ids	Улица	Дом	Корпус	Строение	Год постройки	Этажность	Тип дома	Назначение	Высота этажа	Общая площадь	Лифт
1468479	переулок Трубниковский	8/15									
1468952	улица Малая Семеновская	9		14г							
1469456	улица Николоямская	40		2							
1469548	улица Александра Солженицына	6а		1							
1469634	улица Рочдельская	15		26							
1483754	улица Бауманская	53		5							
1483865	улица Валовая	30									
1484022	проезд 3-й Угрешский	8		13							
1484068	улица Новопесчаная	25	2								
1484074	набережная Котельническая	17									
10032, 81984, 54384, 31743, 81802, 31408, 1172398	переулок Бутиковский	12		2							
10121, 59904	улица Малая Переяславская	7		12							
10182, 22718	проезд Проектируемый № 4062	6		5							
10193, 65522	шоссе Варшавское	125д	2								
10308, 2839, 845, 51201	улица Космонавта Волкова	20									
10403, 1174275, 1222544	проспект Кутузовский	5/3									
10405, 55347	улица Большая Черкизовская	20	1	1							
1055606, 21202	улица Башиловская	34									
1055615, 70060	бульвар Новинский	16		2							
1055641, 32609, 1055620, 1055836, 1239308, 7232, 22215, 16854	шоссе Варшавское	46а		4							
1055647, 1239223, 61296, 42188, 1055700	улица Мелитопольская	1		2							
1055651, 16446, 1056163	проезд 2-й Кожуховский	29	2	18							
1055805, 1220399, 10029, 25692, 35607, 1171024	улица Спартаковская	10/2									
1055825, 68219	улица Нижегородская	86	а								
1055828, 74021	проспект Вернадского	97									
1055867, 51100, 1055813	шоссе Каширское	6	2								
1056133, 67922, 1226121, 23032, 1056415	переулок 2-й Котляковский	1		6							
1056134, 1060754, 40826	улица Лукинская	18	1								
1056177, 51818	проезд 3-й Угрешский	4		1							
1056552, 67348, 51255, 50264	проезд Большой Волоколамский	10а									
1056553, 58966	улица Братиславская	8									
1056928, 64753	проезд 2-й Амбулаторный	8		1							
1056989, 1240032, 1057918, 1056255, 2914, 60370	переулок 5-й Монетчиковский	5		2							
1057159, 1375447	улица Новый Арбат	19									
1057408, 63777	улица Волхонка	5/6		4							
1057562, 6370	улица Девятая Рота	4а									
1057613, 1057679, 36532	улица Бажова	8									
1057658, 38363	улица Угрешская	2		11							
1057662, 70462, 1483780	улица Фадеева	6		1							
1057929, 37333	улица Большая Ордынка	17		1							
1057990, 4170	улица Большая Татарская	3									
1058205, 62913	улица Дербеневская	20		19							
1058271, 1061573	бульвар Страстной	4									
1058461, 1376025, 1058781	улица Кировоградская	16	2								
1058581, 37051	бульвар Сиреневый	44	1								
1059014, 1067774, 1469219, 1058979, 1067671	улица Маршала Соколовского	9									
1059141, 37049	площадь Академическая	1									
1059200, 1609, 51209, 57221	улица Троицкая	7/1		1							
1059204, 40306, 40329	улица Академика Арцимовича	17									
1060027, 1171065	улица Новопоселковая	6									
1060191, 1451202	шоссе Варшавское	16	1								
1060613, 1582, 63021	улица Ольховская	21/25									
1061471, 1448900, 1064830	площадь Павелецкая	1									
1061805, 36266, 1061830	переулок 1-й Щипковский	30									
1062012, 1450643, 1451328, 1056307, 67883, 1059433, 1451085, 1058599	шоссе Щелковское	2									
1062742, 78513	улица 1-я Дубровская	2									
1062868, 1483817, 48405	улица Новочеремушкинская	25									
1062963, 68830	улица Большая Татарская	29									
1064468, 68937, 1059903	улица Большая Марфинская	4	7								
1064800, 70245, 1055707	улица Полярная	22	4								
1064927, 1064596, 52848, 15836	переулок Большой Сухаревский	25		2							
1065465, 1245264, 1244580, 1226598, 1066157, 1223473, 1223642, 1065435, 1391863, 1065443, 1065488, 1065083	переулок Брюсов	2/14		4							
1066833, 82283	улица Золоторожский Вал	11		29							
1067256, 1239785, 1063751, 1243066, 1057601	улица Неглинная	27									
1067319, 1059158, 31671, 52460	проезд Остаповский	7а									
1067628, 1055872, 1056724	бульвар Петровский	3		2							
1067935, 1793, 28325, 53688	проезд 4-й Подбельского	3									
1068053, 1058927, 30961, 1059636, 1058899	бульвар Ходынский	20а									
1068247, 1059694, 31620, 1059696, 1064955	набережная Космодамианская	32-34									
1068257, 1062763	улица Берзарина	36		22							
1068348, 1063776, 1063731	бульвар Гоголевский	9									
10704, 5434, 27896	проезд Строительный	7а	39								
1099, 33888	проспект Мира	36									
11051, 1057726, 1057727, 1057713, 1057718, 15416, 1058395, 35050, 1058385	улица Михневская	8									
11343, 70164, 1448997	переулок Последний	5									
1170614, 1055441, 1449820, 11727	шоссе Челобитьевское	10	2								
1171401, 1241062, 1171205, 1220405, 50992, 15148	переулок Колодезный	2а		2							
1171591, 1220707, 41399	переулок Большой Казенный	8		1							
1171924, 1467176	переулок Столярный	3	12								
1172506, 7508, 1057426	улица Тверская	30/2		1							
1173110, 1221497, 15365, 1060641, 1467495, 1380296	улица Большая Полянка	50/1		2							
1173138, 1221848, 1056776	улица Дубнинская	83а									
1173252, 1220444	улица Кастанаевская	50									
1173599, 1173782	бульвар Цветной	22		5							
1174190, 83688	улица Соколово-Мещерская	14									
1174500, 1448968, 1243138, 1064491, 23306, 9426, 1223344, 1468377	улица Архитектора Власова	20									
1175453, 1244586, 1224576, 1469332, 1061067, 1392442, 955961, 1060253	бульвар Новинский	20		1							
11844, 20767	бульвар Зубовский	35		1							
12143, 1175790, 1392524, 1376770, 1063295, 1226723	улица Трубная	35									
12190, 15454	улица Верхняя Радищевская	6		1							
1220358, 1241596, 1221773, 35870	улица Врубеля	13а									
1220733, 1171595, 913448, 35962, 1057363	улица Писцовая	15									
1220854, 1241274	улица Трофимова	33									
1220872, 75079, 1171749	шоссе Дмитровское	90	1								
1221536, 1067872, 1379935, 1375366, 1483956, 75163, 1379636	улица Маршала Бирюзова	3									
1221854, 1466678, 1483995, 8670, 1380408	улица Гиляровского	47		5							
1226284, 1375749, 1380025	улица Русаковская	23а									
1226393, 1221951, 1221831, 1221785	площадь Победы	1	д								
1226477, 1243343	улица Тимура Фрунзе	11		68							
1226744, 1245069, 1469611, 1451538, 1376776	переулок Васнецова	4		2							
1239301, 40749, 17429	улица Петра Романова	7		1							
1239384, 81027, 28878, 1239305, 1056886	проспект 40 лет Октября	12/10									
1239423, 37195	улица Маршала Новикова	11									
1239538, 65981	улица Барклая	6		7							
1239715, 1242223, 1061467	переулок Гороховский	12		5							
1239828, 1448735	улица Маршала Новикова	2	1								
1239939, 82484	улица Смирновская	25		2							
1240062, 39144	переулок 3-й Крутицкий	15									
1240082, 1057411	переулок Померанцев	9									
1240167, 22322, 37718	улица Кастанаевская	17									
1241370, 65717	проезд Щелковский	2									
1241421, 1173900, 1222668, 63593	улица Садовая-Спасская	18		1							
1241778, 1376078	улица Сайкина	19									
1241876, 1375890, 1451094, 79885, 1058885	улица 1-я Тверская-Ямская	18									
1242613, 1223078, 38034, 38036, 1174354, 1174542, 1063412, 1391848, 506, 1468844	переулок Столешников	13/15									
1242709, 1242799, 1451255, 56106, 1376119	улица Студенческая	31									
1243455, 1243063	переулок Сивцев Вражек	23/14									
12449, 59869	проспект Вернадского	27	1								
1245242, 1245279, 1239306	улица Профсоюзная	114									
12648, 4817	улица Малая Дмитровка	23/15		1							
13065, 41746, 2022	переулок Грохольский	30	1								
13071, 33928	проспект Вернадского	33									
13482, 51873	переулок Расторгуевский	4а									
1375244, 1376127	улица Петровка	19		3							
1375340, 6512	улица 5-я Кожуховская	22	1								
1375510, 1376368	улица 3-я Мытищинская	10									
1375531, 14202, 1375280, 1057210	улица Соловьиная Роща	16									
1375641, 1375839, 1451190, 260	улица Новорогожская	8									
1375726, 1220887, 1375725, 1450865, 1380212, 1380756, 1450866, 1375929	проезд Серебрякова	14а		5							
1375952, 40263	улица Летчика Грицевца	12									
1376411, 1391747, 1242251, 1243192	бульвар Цветной	25		1							
1379473, 1060624	шоссе Волоколамское	110									
1379782, 6823	переулок Большой Каретный	17		1							
1379886, 1058068	переулок Старомонетный	8		4							
1380582, 1469177, 1060406	улица Маросейка	13		3							
1380680, 36196, 5869, 30254, 1469195, 1221476	улица Бауманская	68/8		1							
1391988, 79407	переулок Переведеновский	13		30							
1392570, 78378	переулок Голиковский	11									
14123, 50682, 82990, 41608, 37279, 5585	переулок Коробейников	1									
14302, 1523635	улица Павловская	18									
14313, 1375465	улица Тихвинская	10									
14314, 4874	переулок Успенский	3									
14348, 3107	переулок Большой Кисловский	1		1							
1436, 27981	улица Каховка	18	1								
1448874, 32301	улица Вятская	47		16							
1449139, 1241742, 1467952, 1376259	бульвар Петровский	15		1							
1449169, 40385, 1065788	переулок 2-й Троицкий	6а									
1449348, 58812	улица Производственная	23		1							
1449804, 1375418, 1450664, 18436	улица Ольховская	21									
1450740, 1467553	шоссе Варшавское	122а									
14570, 1057284	улица Нижняя Красносельская	35		50							
14662, 18381	переулок Вознесенский	20		2							
1466583, 1224557, 1241564, 1175400, 1224225	улица Большая Полянка	50/1		3							
1466741, 13359	улица Иркутская	17									
1466993, 65580, 1379847, 1240258, 52009	улица Мельникова	5									
1467418, 1467564	улица Трубная	25	1								
1467609, 1239739	улица Международная	вл15а									
1467667, 35244, 1448681	улица Зеленоградская	15									
1467708, 57586, 39236	улица Высоцкого	4/8		2							
1467916, 33913	шоссе Варшавское	125ж	7								
1468159, 4887	улица Тверская	23									
1468284, 16954, 1451331, 1468283	улица Мантулинская	10									
1468421, 1391763	переулок 1-й Обыденский	9/12									
1469459, 1467783	улица Лодочная	5а		2							
1483987, 41798	улица Сосенский Стан	17									
15129, 1375911	проспект Мира	102		30							
1523824, 77178	улица Большая Пионерская	4									
15707, 1056508	бульвар Тверской	17		3							
15728, 57742	улица Николоямская	16/2		3							
16035, 20237, 31098	переулок Несвижский	3									
16223, 37863	улица Серафимовича	5/16									
16401, 1057355	улица Верхняя Радищевская	6		3							
16417, 29302, 18903	улица Бурденко	14									
16555, 1172382, 1451180	улица Садовая-Спасская	19	1								
16596, 1057795, 1523817	переулок 2-й Гончарный	3									
16709, 1173624	улица 1-я Тверская-Ямская	9									
16793, 21715	улица Вавилова	81									
17059, 1241965, 1221873, 1243300, 1380494	улица Жуковского	2									
17355, 1988, 63159	переулок Конный	12									
17804, 1450564	улица Фабрициуса	33а									
18008, 30255, 37731, 62760	проезд Егорьевский	3ж		8							
18200, 38999	проезд Завода Серп и Молот	8		2							
18343, 80693, 22675, 54427	проспект Ленинский	29									
18671, 1239328	улица Милашенкова	10									
19149, 73780, 77108	улица Большая Якиманка	3									
19343, 49591	улица Самотечная	7/5		4							
19470, 1240964, 5716, 80529, 9691, 4606	проезд Сормовский	5	1								
19533, 19884, 73265, 31082, 74565	улица Талалихина	37									
19566, 2704	улица Арбат	32									
19641, 36332, 82714, 34502, 28168	улица Малая Андроньевская	15									
19881, 41214, 60514, 1056685	улица Саратовская	9		1							
20371, 35850, 45312, 1056011	проезд 1-й Нагатинский	2		36							
20423, 1173498, 1222036	улица 7-я Парковая	3/9									
20491, 77657	улица 6-я Радиальная	3	6								
20552, 71942	шоссе Варшавское	29	1								
21170, 46629	проспект Кутузовский	30									
21214, 5626	улица 3-я Хорошевская	вл11									
21409, 20218	улица Малая Бронная	2									
21741, 7864, 51223	переулок Большой Златоустинский	8/7		1							
21778, 42640	улица Народная	12									
22109, 54286, 72515	улица Рабочая	30		1							
22221, 1221945, 1243242, 1467397	улица Колодезная	5									
22463, 29408	площадь Борьбы	13									
22761, 16714	переулок Последний	28		1							
2287, 63464	улица 4-я Магистральная	7		1							
23155, 80396, 33342, 38728, 56970, 3325	улица Большая Андроньевская	25/33									
23457, 1375313, 41834	улица Дубининская	63		2							
23727, 51652, 65298	переулок Большой Факельный	3		2							
24090, 3084, 1057255	переулок Электрический	8		1							
25033, 1171540	проспект Мира	101в									
25060, 39987, 10001	улица Большая Дмитровка	28									
2530, 49689	шоссе Коровинское	2а									
25515, 1241653, 17847, 26342, 40699	улица Арбат	36/2		6							
25849, 62154, 59488	улица Яузская	1/15		5							
26337, 1062529	улица Вилиса Лациса	9	1								
26440, 6702	проезд Малый Коптевский	6	1								
26610, 50432	улица Пятницкая	8									
26700, 16106	проезд 2-й Тушинский	8									
27151, 22444, 52727, 37986	улица 3-я Фрунзенская	6									
27224, 69335, 21317, 30419, 76437	улица Павловская	27/29									
27234, 1375407, 1057190, 1220557	улица Новопесчаная	5									
27294, 1221132	улица Воронцовская	22		2							
27487, 1392580	улица Малая Пироговская	1		6							
27534, 28218, 17668, 12767, 47423	переулок Чистый	5а									
27566, 40440	переулок 4-й Самотечный	9									
27952, 73835	улица Волхонка	5/6		9							
28231, 62755, 24951	проезд 2-й Иртышский	17/11									
28338, 48390	проезд Перовский	2		2							
28528, 14306	переулок Плетешковский	6		2							
28854, 82276, 57575, 6063	улица Домодедовская	20	3								
28910, 3192	проезд Строительный	9									
28933, 1056687	улица 8-я Соколиной Горы	26									
28968, 29711	шоссе Варшавское	34									
2933, 11740	улица Усиевича	27	1								
29594, 48873	переулок Скарятинский	7									
29668, 29738, 31628, 53216	улица Подъемная	14		11							
30215, 1468429	переулок Старопименовский	11		1							
30222, 80703, 55684	проезд 2-й Кожуховский	12а									
30230, 36959, 62060	улица Малая Полянка	5									
30240, 48395	шоссе Перовское	21		1							
30328, 1058872	улица Мироновская	2									
30690, 67483	улица Новая Басманная	21		1							
30809, 1173731, 1062579	проезд Погонный	3а									
31385, 67617	переулок Мансуровский	6									
31476, 5988	набережная Бережковская	38		2							
31518, 6853, 1058089, 13756, 34859, 1241059, 31755, 5058, 4402	улица Вековая	21		1							
31523, 16942	улица Соловьиная Роща	9									
31621, 70682, 53548, 59095, 42563, 65876, 60111	улица Трубная	32		3							
31747, 17730, 82603, 18228	проезд Шмитовский	7									
31960, 1059685	улица Свободы	93									
33120, 55226, 32891, 28839, 36619	проезд Остаповский	13		1							
33387, 9945	проспект 60-летия Октября	6									
33563, 35194, 1240058, 68646, 12106	улица Марксистская	20		5							
33667, 59370, 1375718, 35678	бульвар Никитский	11/12		1							
34438, 80997, 63659, 51840	переулок Холодильный	3		4							
34633, 41059	улица Перерва	52									
34961, 6788, 33319, 21091	улица Усачева	62		1							
3506, 6799	переулок Сытинский	3		5							
35206, 1172731, 1221527	улица Снежная	23									
35245, 28412	улица Баррикадная	2/1		1							
35679, 1057572	площадь Журавлева	6									
36036, 78141, 38386	улица Чаянова	22		4							
36401, 49009	улица Поварская	20									
36592, 66875, 28287	улица Достоевского	21									
36672, 35745, 72095, 84116, 1466732, 35820	улица 6-я Радиальная	7а		2							
37057, 913585, 1449694, 39893	улица Воронцовская	19б									
37135, 1055443, 1170495	шоссе Ярославское	130	1								
37283, 1220673	шоссе Измайловское	28									
37893, 1483728	улица Маршала Конева	2									
38050, 19130	переулок Шубинский	6		1							
38677, 1375282	улица Ватутина	10									
38963, 55674, 1067812	шоссе Калужское	13б									
38995, 43717	улица 5-я Парковая	46									
39233, 1058865	шоссе Ленинградское	130	1								
39852, 34031, 44994, 1468619	проспект Ленинский	11		2							
40237, 1523525	переулок Стромынский	4									
40468, 1380226, 1467244	улица Раменки	17	2								
40519, 25151	набережная Лужнецкая	2/4		18							
41314, 15771, 34629, 8068	улица Житная	10									
41510, 67721, 67720, 41463	проезд 5-й Донской	15		3							
42038, 44844, 44236	улица Ефремова	19	1								
42206, 64658, 30816	улица Гурьянова	31		2							
42510, 52356, 78511, 10852	переулок Курсовой	17		1							
42683, 1375137	улица Угрешская	2		76							
42945, 5303	улица Писцовая	13а									
43111, 41557, 43205	улица Автозаводская	21									
4321, 44444, 1379728	улица Касаткина	3а		9							
43359, 70832	улица 1-я Дубровская	6а									
43486, 1058058	улица Вересковая	10/9									
44154, 37461	улица Палиха	13/1		1							
44644, 3691	улица 2-я Магистральная	6		1							
44660, 69780	улица Котляковская	1									
4494, 19105	набережная Озерковская	52а									
45039, 48909, 49396, 1055599	шоссе Варшавское	46а		3							
45403, 61070	переулок Столовый	4									
45440, 956254, 18184	улица Панфилова	28б									
45444, 1174897	шоссе Варшавское	36		7							
45536, 56418, 5855	улица Тимура Фрунзе	10									
45643, 29430, 1057801	улица Большая Филевская	25									
4571, 26031	переулок Большой Власьевский	14		2							
46044, 8090	улица Миклухо-Маклая	32	1								
46172, 48675	улица Электрозаводская	20		8							
46249, 60868, 1483972, 1523427	улица Люблинская	53									
4684, 74087	проспект Мира	186	2								
46859, 1171905, 1221117	улица 2-я Квесисская	23									
46876, 58837, 28803, 25732	переулок 1-й Волконский	13		2							
47039, 50467	улица Уральская	11									
47325, 1375322	проезд 1-й Волоколамский	10		15							
47755, 1467793	улица 1812 года	2									
47786, 22571, 22136	проезд Сормовский	11		7							
47797, 47871	бульвар Смоленский	17		5							
48069, 1466891, 57989	проезд Электролитный	3б		6							
48373, 1523733	улица Новокузнецкая	35-37		2							
48664, 38831	переулок Оружейный	13		2							
49151, 1375829	улица Марии Ульяновой	3	2								
49421, 75994, 50699, 48415, 6165	улица Трубная	17		2							
49772, 1055481, 1449695	переулок Пестовский	9									
49883, 18341, 22803, 25344, 23498, 28141, 26906, 31811, 40122, 46347, 2510, 12614, 44406, 22941, 23364, 25433, 5328, 4519, 22214, 27956, 28922, 2367, 4532, 47909, 1813, 28244, 2632, 1320, 3076, 11577, 3219, 11026	набережная Дербеневская	7									
50138, 1059786	переулок Холодильный	2/6									
50431, 6157	переулок Фурманный	2/7									
50658, 82728	улица Феодосийская	1	11								
50868, 51783, 4239	улица Миклухо-Маклая	42									
50899, 39389	проезд Путевой	11									
51199, 27332	улица Рогожский Вал	1/2		1							
51574, 36763, 43522	улица Новослободская	14/19		1							
51661, 21062, 36331	улица Малая Калужская	27									
51691, 1060056, 13121	улица 2-я Бауманская	7									
52278, 42915	проезд Чечерский	24	1								
52430, 31260	улица Дмитрия Ульянова	6	1								
52866, 1056358, 1058618, 64564	улица Нагатинская	3а									
52942, 19274, 37649	улица Саратовская	14/1									
52956, 33189, 53758, 46278	шоссе Перовское	11		1							
53032, 1058466, 1375769	улица Авиамоторная	14									
53461, 8659	улица Мневники	1		20							
53694, 43417, 1375423	улица Верейская	27									
53760, 56700, 59469	переулок Протопоповский	19		13							
53762, 1061087	переулок Пожарский	10									
53921, 1057815	улица Староволынская	12	5								
53968, 41914, 31749, 37266, 1060092	улица Большая Садовая	3		8							
55345, 52773	улица Чертановская	38	1								
55770, 11639	улица Мясницкая	13		2							
55771, 37496	улица Большая Серпуховская	31	11								
55782, 1057008	улица Верхняя Радищевская	15		3							
55799, 82816	бульвар Жулебинский	14									
55868, 26470	улица Николаева	4									
55979, 2183	улица Угрешская	2		95							
56007, 26449, 1066023	переулок 2-й Спасоналивковский	3		1							
56169, 52445	улица Рочдельская	15		32							
57189, 1395, 83533, 50137	переулок Пестовский	16		1							
57244, 8814, 10787	улица Воронцовская	44									
57290, 49482	улица Яузская	10/2		4							
57693, 1059176	проспект Ленинский	150									
57788, 1058110	улица Летчика Бабушкина	32	3								
58374, 1240056, 38291, 52511	улица Азовская	13									
58446, 1450677	проезд 5-й Войковский	16	2								
58660, 24052	улица Щербаковская	57/20									
58843, 1055470	улица Судостроительная	23	1								
59033, 53823	улица Сумская	7а		2							
59133, 1467364	улица Дмитриевского	17									
59331, 9154	улица Ярославская	8	2								
59392, 11809, 11515	улица Малая Грузинская	52/34		1							
59456, 1239779	шоссе Сколковское	31		9							
59487, 1245171, 30495, 1379677, 1523603, 1523734	улица Красноказарменная	3									
59503, 59579	улица Профсоюзная	78									
5953, 34773	улица Дербеневская	7		2							
59848, 23393, 1173892, 1222532	проспект Ленинский	99									
59864, 893	набережная Дербеневская	13/17	5								
59988, 59969	улица Верхние Поля	10									
60090, 1220452, 1375285	улица Москворечье	31	2								
60269, 54545	улица Спиридоновка	4		1							
60333, 27133	улица Рождественка	3/6		1							
60740, 66571	бульвар Зубовский	17		1							
61280, 3249	улица Калибровская	31		21							
61484, 1449839	переулок 4-й Лихачевский	4		2							
62152, 34111	проспект Волгоградский	1		1							
62249, 1391751	переулок Малый Ивановский	6/5		1							
62366, 1061640	улица Малая Ордынка	11									
62824, 1057809, 46223	улица 1-я Тверская-Ямская	27									
63014, 42593	улица Грина	22а									
6324, 1379690	улица Барышиха	23									
63431, 1466694	переулок Большой Власьевский	14		1							
63528, 5443	улица Марксистская	5		1							
6371, 8700	улица Бакунинская	41		1							
63820, 75847, 9084	переулок Пречистенский	9а									
63994, 63993	проспект Ленинский	31	4								
641, 1173118	улица Воронцовская	21а		1							
65003, 68143	проспект Рязанский	75									
65352, 64890, 1060978, 1244870	переулок Студенецкий	3									
65510, 30815, 47706	проезд 2-й Кожуховский	12		1							
65864, 48895, 26682	переулок Кропоткинский	4		1							
661, 40040, 54161, 53742, 1059937	улица 1-я Дубровская	6б									
66128, 53165	переулок Певческий	4		3							
66193, 30969, 1056491	проезд 2-й Вязовский	10		1							
66226, 46325	улица Ленинская Слобода	26		7							
66245, 17388	проезд Мукомольный	7	2								
66278, 29681, 49242, 42652	переулок Сеченовский	7									
66496, 17900, 19530, 48313, 42974, 1058137	шоссе Варшавское	25									
66599, 1058755, 21020	проспект Ленинский	131									
66689, 44325	проезд Харьковский	7а									
67214, 69492, 10763, 32995	переулок 1-й Щемиловский	15									
67260, 18536	улица Александра Солженицына	36		1							
67332, 18575	улица Красная Сосна	20		1							
67491, 2783	проезд 1-й Нагатинский	8		5							
67492, 29889	улица Арбат	42		1							
6759, 51473	шоссе Варшавское	14		14							
67905, 28053	улица Верхняя Красносельская	2									
68195, 47228, 52913	шоссе Варшавское	72	2								
6842, 1172809	улица Раменки	20									
68460, 44825	улица Сельскохозяйственная	5		1							
68575, 30185	переулок Гагаринский	14									
68612, 1055931	улица Говорова	16	5								
68975, 30664	бульвар Цветной	21		2							
69203, 1055919	шоссе Рублевское	11									
69238, 10431, 1171722	улица Талалихина	41		26							
69260, 1061652, 50238, 26241	переулок Малый Каковинский	4		1							
69499, 70611, 49446	улица Нагатинская	29	4								
69568, 56139	улица Солянка	12-14		1							
69745, 2573	проспект Буденного	39	3								
69841, 1055652	проезд Сумской	8	3								
69861, 15973, 36829, 1059783, 69855	переулок Колокольников	12									
70063, 11114	улица Библиотечная	15/8									
70263, 70305	улица Красная Пресня	20		4							
70548, 1055968	улица Криворожская	6									
70780, 51711, 1375926	улица Самотечная	5									
70826, 1172829	улица Полимерная	4а									
70949, 52716	улица Александра Солженицына	10									
70955, 74233	проезд Симферопольский	16	1								
70991, 1062494	улица Дунаевского	7									
71316, 17794	улица Воронцовская	13/14		3							
71379, 47243, 992	переулок Столярный	3	3								
71449, 8196	набережная Лужнецкая	2/4		51							
72174, 44431	улица Лухмановская	34									
72192, 3358	улица Пятницкая	16									
7223, 36210	переулок 4-й Ростовский	1		2							
72769, 38726	улица Дмитрия Ульянова	19									
73053, 79135	набережная Котельническая	25									
73244, 56993	переулок Тетеринский	14		1							
73381, 73382, 43983, 73383, 42921, 56095	улица Красина	3		2							
73432, 10711, 44667	улица Малая Калужская	15		17							
73567, 65330	проспект Рязанский	32									
73823, 1062995	проезд Жуков	15а									
73894, 1483791	улица Маросейка	13		1							
74104, 8477	улица Грузинский Вал	26		1							
74243, 72640, 44019	улица 1-я Брестская	34									
74259, 1062118	проспект Мира	119		519							
74376, 84360, 38012, 8038	проспект Олимпийский	26		1							
74764, 1067810, 30803	улица Академика Челомея	3									
75006, 34150	переулок 1-й Хвостов	3		1							
75271, 1243052, 52423, 17220	улица Марксистская	3		8							
75745, 14149, 75744, 32864	улица Остоженка	37/7		1							
76161, 5752	проспект Ленинский	70/11									
76438, 1451069	проезд Лубянский	19		1							
77569, 18619	улица Кооперативная	2	14								
77571, 81013	улица Трофимова	1/17									
77738, 1375689, 1375692, 76214	переулок Электрический	10		1							
7779, 1060285	улица Садовая-Черногрязская	13		1							
77878, 1056611	переулок Большой Сухаревский	5		3							
77961, 23320	переулок Протопоповский	2									
7801, 83419	улица Подольских Курсантов	4б									
78305, 52268	бульвар Симферопольский	30	1								
78382, 69973	улица Рождественка	5		1/7							
7868, 36616	переулок Трубниковский	1/2									
787, 58356, 79828	шоссе Фрезер	5/1									
7872, 28302, 8971, 1059377	улица Верхние Поля	39									
79150, 1239998	бульвар Чистопрудный	12	2								
79267, 1056427, 1220437	улица Большая Набережная	25/1									
79373, 1061130, 1059468	улица Большая Семеновская	43									
79449, 59320	улица Новохохловская	14		1							
79526, 31321, 38673, 708	улица 2-я Звенигородская	13		1							
79704, 1222535, 1375972, 1173895	улица Ткацкая	5		5							
79783, 1450902	проезд 12-й Марьиной рощи	9		1							
79911, 14980, 1380173, 1059225	переулок 1-й Коптельский	9		1							
80040, 10566, 30774, 8990	переулок 3-й Дербеневский	1		6							
80123, 1467307	улица Академика Челомея	3	2								
80153, 65431	улица Дербеневская	7		1							
80255, 20662, 54103, 43631, 59931	улица Кржижановского	27									
8028, 44876	переулок Большой Саввинский	12		4							
80285, 69529	переулок Чернышевского	5		1							
80295, 80360, 11919, 37890	улица Тимура Фрунзе	11		15							
80495, 1448987, 1220990, 1171935	переулок Камергерский	6/5		3							
80499, 6980, 1483829, 49660, 45489	улица Мытная	22		1							
80522, 38543, 77849	улица Большие Каменщики	21/8									
80722, 1171061	шоссе Аминьевское	34									
8079, 80216	переулок Гагаринский	23		1							
80914, 1220919, 1226240, 1375601	улица 2-я Звенигородская	13		18а							
80973, 12680	улица Барклая	12									
81004, 1242152, 1173870, 1062226, 1222518, 11972, 42186	набережная Андреевская	1		9							
81014, 82474, 1380474, 8664	улица Новослободская	61		1							
8109, 73343	улица Долгоруковская	25									
81163, 10964	проезд Остаповский	24		1							
8152, 11576, 2292, 16122, 41032	улица Каховка	35	2	2							
81769, 1221795	улица 3-я Парковая	6									
82084, 1057519	проезд 4-й Рощинский	19		3							
82200, 1239206	улица Уржумская	7									
82261, 1376756, 1063142	улица Красина	14		8							
82286, 914399	улица Потаповская Роща	4	2								
82316, 1058981	улица Хованская	6									
82430, 58042	проезд 1-й Нагатинский	2		4б							
8244, 31567	переулок Чернышевского	15									
82441, 74122	улица 6-я Радиальная	3	9								
82487, 1467134, 1380073, 1467368	улица Народного Ополчения	38	1								
82491, 1220967	переулок Фурманный	2/7		1							
83393, 83392, 66509, 13843, 41894, 41893	улица Волочаевская	5	1								
83591, 29713, 59172	улица Хамовнический Вал	2									
84090, 22505, 10305	переулок Костомаровский	3		2							
841, 51540	улица Шоссейная	80		2							
84274, 45962, 1451485, 31601, 12524	улица Николоямская	29		2							
8433, 2320	переулок Чернышевского	8		2							
8539, 1067216	переулок 1-й Колобовский	18									
8585, 1058879	шоссе Рублевское	32									
8866, 1239970, 1240855, 1375597	улица Зацепа	21									
8901, 1055491	улица Новослободская	46									
9291, 37546, 19169	улица Ленинская Слобода	19	1	2							
9420, 20213	улица 2-я Звенигородская	12		19							
955895, 49802	проспект Ленинский	42	2								
955957, 70041	улица Авиамоторная	6									
955967, 84342	улица Академика Ильюшина	1	2								
9911, 5867, 1242210	улица Новый Арбат	14		1							
30280, 77460	проезд Походный	6		9							
36462, 58641	улица Электрозаводская	20		7							
41560, 26594, 41320	проспект Октябрьский	24									
10523, 1056439, 1375283, 82830, 53807, 1466712	шоссе Открытое	2	9								
7015, 54405, 49266, 1222625, 36887	проспект Кутузовский	24									
1448732, 1450857, 1376166, 1056692, 1240512, 28709, 1240917, 1450742, 2895	переулок Селиверстов	10		2							
26602, 53335, 34361, 37143, 15496, 34891	улица Азовская	15а									
6390	улица Смольная	35		1							
6876	улица Красноказарменная	12		26							
15991	проезд 1-й Нагатинский	2		2							
18386	улица Большая Черемушкинская	20	4	1							
38940	улица Доброслободская	7/1		3							
40474	переулок Большой Полуярославский	14									
55164	проезд Черницынский	3		5							
59547	улица Ивана Франко	48		3							
62263	проспект Рязанский	10		16							
69354	улица Речников	21		1							
72361	улица Кольская	8									
1055569	улица Ботаническая	29	1								
1055571	улица Семеновский Вал	6									
1055824	улица Софьи Ковалевской	1		2							
1058245	улица Домодедовская	33									
1061461	улица Докукина	4									
1220343	переулок Нижний Сусальный	9		6							
